Timestamp,year,TOT_PREP(mm),Total rrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios
31/05/15,2015,3.8,421.74,21976,841,86.2,251.2,25.82,5.874,1301,29.2,1234,95.2,542,0,13,22.49,211,60.9,1234,0.846,296.4,68.08,0.76,0.111,0.084,0.071,0.069,0.076,0.127,0.217,0.09,12.32,
1/6/2015,2015,0.6,57.741,24862,963,101.3,291.4,30.31,6.034,919,29.51,1236,90.5,156,0,0,22.75,501,56.09,1252,0.96,338.2,62.8,0.856,0.242,0.14,0.065,0.038,0.04,0.08,0.208,0.147,12.37,
2/6/2015,2015,2.1,64.516,18716,747,77.8,233.8,24.13,5.714,1452,28.52,1149,91.8,522,0,0,22.35,247,62.51,1151,0.816,270.4,61.59,0.743,0.082,0.046,0.032,0.055,0.151,0.169,0.202,0.079,12.38,
3/6/2015,2015,0.8,181.13,18299,744,79.7,223.3,23.67,4.915,1055,27.82,1126,89.3,618,0,0,22.54,204,61.05,1056,0.812,12.24,59.74,0.715,0.159,0.126,0.096,0.09,0.078,0.069,0.103,0.091,12.37,
4/6/2015,2015,0,522.68,33044,1327,141.5,348.2,36.88,7.15,1358,30.03,1316,85.3,111,0,0,22.8,544,55.65,1316,1.077,255.7,62.15,0.948,0.101,0.049,0.044,0.093,0.295,0.221,0.16,0.113,12.37,
5/6/2015,2015,1,664.14,29106,1173,125.2,336.5,35.66,6.194,1319,30.65,1347,90.3,2317,0,0,22.64,456,51.36,1208,0.922,281.8,65.11,0.816,0.091,0.044,0.039,0.08,0.153,0.158,0.227,0.129,12.37,
6/6/2015,2015,0,225.16,25893,1068,119.6,288.3,32.11,8.11,1140,28.94,1231,90.2,3,0,0,22.38,302,59.23,1227,1.182,277.3,74.3,0.945,0.111,0.073,0.072,0.124,0.182,0.18,0.291,0.15,12.38,
7/6/2015,2015,0.1,60.652,21335,872,99.4,254.4,29.01,6.353,1312,29.85,1419,89.3,352,0,0,22.96,2241,59.2,1420,1.024,291.4,71,0.799,0.118,0.056,0.051,0.075,0.107,0.151,0.301,0.165,12.37,
8/6/2015,2015,0,155.41,23340,947,107.3,274.3,30.9,5.395,1034,29.59,1607,85.4,2238,0,0,22.69,129,57.56,1607,0.819,323.7,53.75,0.834,0.214,0.114,0.039,0.022,0.044,0.084,0.17,0.132,12.37,
9/6/2015,2015,0.1,660.98,29080,1184,132.7,323,35.92,5.235,1234,29.99,1312,86.4,51,0,1,22.73,137,50.07,1331,0.888,5.866,61.61,0.794,0.202,0.129,0.115,0.094,0.074,0.065,0.112,0.097,12.37,
10/6/2015,2015,7.4,3560,26327,1063,122.3,288.1,32.44,5.395,1535,28.64,1020,90.3,1954,0,4,22.13,2310,52.81,1021,0.839,218.1,65.13,0.771,0.161,0.112,0.093,0.109,0.105,0.074,0.099,0.086,12.38,
11/6/2015,2015,5,354.27,29531,1205,136.1,322,36.42,5.874,1316,30.22,1217,90,739,0,0,21.71,434,50.65,1218,1.043,14.63,67.28,0.942,0.268,0.22,0.101,0.061,0.072,0.085,0.114,0.12,12.38,
12/6/2015,2015,0.3,116.67,23159,944,108.2,266.2,30.59,5.714,1156,29.14,1239,88.5,549,0,4,22.33,413,60.04,1239,0.883,356.8,65.21,0.849,0.177,0.184,0.107,0.052,0.063,0.093,0.114,0.094,12.38,
13/06/15,2015,1.5,4331,26964,1144,135.8,317.5,37.11,7.79,219,30.78,1341,90.8,419,0,0,22.7,531,48.11,1342,1.156,2.948,73.9,0.95,0.271,0.224,0.117,0.07,0.062,0.113,0.179,0.12,12.38,
14/06/15,2015,0.5,1080.2,22754,966,115.1,273.7,32.47,6.993,1353,29.6,1553,88.5,2146,0,0,22.42,2304,56.88,1548,1.164,32.54,66.96,1.024,0.36,0.252,0.125,0.068,0.07,0.074,0.099,0.116,12.37,
15/06/15,2015,0.5,1825.3,29927,1277,149.4,339.9,39.67,5.554,1222,29.71,1415,89.1,2217,0,0,22.42,134,56.97,1416,1.029,264.5,56.61,0.849,0.21,0.163,0.109,0.09,0.107,0.103,0.138,0.11,12.37,
