TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg Water ,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,COMENTARIO
1/22/2016 0:00,744,1.8,1.727,22.28,100,26.23,21.56,28.62,1/22/2016 11:43,100,1/22/2016 0:00,29,1/22/2016 14:33,2.597,1/22/2016 12:58,18.59,1/22/2016 5:50,67.25,1/22/2016 11:27,23.87,1/22/2016 7:32,0,1/22/2016 1:48,62.38,0.535446,220.5,19044.76,763.9,2.748,1.612,117.5,406.1,0.29,158.4,35.03,0.354,0.008,0.007,0.055,0.119,0.058,0.019,0.016,0.007,12.14,
1/23/2016 0:00,745,5.3,1.732,23.39,95.5,26.14,23.35,28.06,1/23/2016 12:32,100,1/23/2016 0:00,28.2,1/23/2016 14:17,3.795,1/23/2016 14:42,20.88,1/23/2016 7:19,72.65,1/23/2016 12:26,24.71,1/23/2016 7:35,0,1/23/2016 0:06,42.73,0.3667417,141.5,12221.45,763.4,1.811,1.062,87.1,279.2,0.401,170.7,56.3,0.428,0.04,0.026,0.05,0.107,0.088,0.03,0.039,0.022,12.13,
1/24/2016 0:00,746,2.3,1.727,23.36,100,26.44,21.1,26.63,1/24/2016 13:02,100,1/24/2016 7:23,28.34,1/24/2016 14:35,3.955,1/24/2016 15:15,20.74,1/24/2016 23:02,78.29,1/24/2016 14:35,25.47,1/24/2016 7:25,0,1/24/2016 0:00,42.82,0.3675741,150.9,13032.3,765.3,1.503,0.896,76.61,264.7,0.38,172.5,58.7,0.425,0.039,0.028,0.036,0.106,0.076,0.023,0.039,0.032,12.13,
1/25/2016 0:00,747,6.5,1.726,22.19,100,25.97,20.13,27.18,1/25/2016 12:16,100,1/25/2016 0:00,27.56,1/25/2016 12:16,2.996,1/25/2016 12:30,20.16,1/25/2016 23:40,84.3,1/25/2016 12:17,24.81,1/25/2016 7:17,0,1/25/2016 0:00,41.95,0.3600999,147.9,12777.81,767.2,1.674,0.882,79.11,270.7,0.243,161.8,48.72,0.365,0.014,0.011,0.042,0.079,0.037,0.014,0.034,0.013,12.12,
1/26/2016 0:00,748,4.1,1.731,22.75,100,25.86,22.17,27.86,1/26/2016 12:01,100,1/26/2016 0:00,28.1,1/26/2016 14:28,3.396,1/26/2016 15:52,19.48,1/26/2016 4:29,73.13,1/26/2016 12:06,24.14,1/26/2016 7:08,0,1/26/2016 0:00,49.59,0.4256337,166,14336.67,766.4,2.419,1.328,101.8,334.9,0.315,154.2,47.45,0.399,0.017,0.022,0.054,0.1,0.061,0.025,0.023,0.012,12.13,
1/27/2016 0:00,749,0.1,1.732,23.47,94.3,26.03,22.42,27.02,1/27/2016 12:05,100,1/27/2016 0:00,27.67,1/27/2016 13:51,3.715,1/27/2016 10:16,21.05,1/27/2016 3:05,73.84,1/27/2016 12:30,24.98,1/27/2016 7:31,0,1/27/2016 0:08,42.92,0.3683695,152.4,13162.93,765.8,1.724,0.86,83.9,285.4,0.416,147.6,64.7,0.448,0.044,0.043,0.074,0.096,0.057,0.038,0.045,0.02,12.12,
1/28/2016 0:00,750,1,1.731,23.96,99.2,26.51,22.56,29.2,1/28/2016 13:49,100,1/28/2016 7:05,29.04,1/28/2016 13:51,3.156,1/28/2016 11:14,21.36,1/28/2016 5:57,66.42,1/28/2016 13:11,24.87,1/28/2016 6:55,0,1/28/2016 0:01,69.81,0.5992138,217,18747.66,764.6,2.098,1.301,127.5,407.1,0.368,149.3,56.89,0.438,0.036,0.039,0.062,0.103,0.05,0.027,0.03,0.02,12.14,
1/29/2016 0:00,751,0,1.726,23.82,100,26.82,21.04,30.14,1/29/2016 13:36,100,1/29/2016 5:31,29.68,1/29/2016 13:38,3.076,1/29/2016 13:50,20.75,1/29/2016 7:00,55.58,1/29/2016 13:35,24.99,1/29/2016 7:43,0,1/29/2016 0:09,81,0.695551,239.7,20705.22,764.5,2.839,1.455,146,448.1,0.318,162,60.73,0.314,0.034,0.022,0.044,0.092,0.051,0.022,0.03,0.023,12.12,
1/30/2016 0:00,752,2.6,1.727,22.87,100,26.48,20.5,27.86,1/30/2016 12:54,100,1/30/2016 0:00,28.48,1/30/2016 14:00,1.798,1/30/2016 13:41,20.32,1/30/2016 1:35,70.05,1/30/2016 12:52,25.42,1/30/2016 3:07,0,1/30/2016 0:00,53.69,0.4608592,134.1,11586.63,765.8,2.154,1.036,91.4,240.7,0.141,158.6,34.8,0.285,0.01,0.006,0.021,0.049,0.021,0.009,0.013,0.011,12.12,
1/31/2016 0:00,753,4.3,1.725,22.59,100,26.42,19.7,29.48,1/31/2016 11:50,100,1/31/2016 0:00,29.29,1/31/2016 14:57,2.677,1/31/2016 15:10,19.43,1/31/2016 7:04,61.3,1/31/2016 12:02,24.55,1/31/2016 7:22,0,1/31/2016 0:00,78.61,0.674701,162.5,14038.51,764.8,3.228,1.553,141.8,353.4,0.276,150.5,43.27,0.368,0.018,0.022,0.046,0.097,0.044,0.015,0.017,0.017,12.12,
