Timestamp,year,TOT_PREP(mm),Total Inrrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios,
2/12/2016,2016,0.8,3883.6,10051,953,67.09,317.6,21.33,5.395,1338,28.01,1426,90.9,458,0,4,20.31,450,52.06,1337,0.711,75.2,51.17,0.751,0.094,0.076,0.131,0.11,0.05,0.036,0.073,0.142,12.34,,
2/13/2016,2016,0,2935.7,9049.3,825,60.06,259.3,16.9,6.673,1236,26.91,1439,87.7,152,0,0,20.58,402,48.75,1456,0.455,312.7,41.46,0.663,0.081,0.032,0.018,0.016,0.034,0.05,0.103,0.122,12.35,,
2/14/2016,2016,4.9,2129.7,8589.1,778,57.9,258.5,17.43,3.956,1259,26.36,1258,91.1,618,0,0,19.37,636,58.43,1256,0.76,113.4,42.33,0.739,0.098,0.06,0.161,0.195,0.042,0.016,0.053,0.135,12.33,,
2/15/2016,2016,5.9,2837.7,7215,650.3,46.6,218.7,14.23,6.194,1446,26.29,1442,94.3,734,0,7,19.27,634,63.49,1443,0.904,327.9,62.62,0.909,0.1,0.144,0.121,0.063,0.068,0.091,0.184,0.133,12.34,,
2/16/2016,2016,3.1,2742.2,6816.8,622.2,46.86,225,14.87,6.513,930,26.09,1224,92,654,0,3,20.14,318,63.53,1220,0.802,312.3,63.29,0.9,0.136,0.139,0.086,0.048,0.073,0.105,0.103,0.11,12.34,,
2/17/2016,2016,2.6,1202.4,3028.8,269.3,28.93,86.5,7.74,4.755,1315,24.75,1046,93.1,1807,0,0,20.95,318,80.2,1049,0.541,288.5,46.66,0.644,0.041,0.034,0.023,0.017,0.043,0.101,0.194,0.088,12.34,,
2/18/2016,2016,1,3404.6,8435.7,801,54.29,265.9,16.63,5.714,1952,27.37,1254,93.6,547,0,0,21.43,724,62.66,1255,0.661,256.3,42.73,0.82,0.05,0.023,0.029,0.082,0.176,0.086,0.118,0.097,12.34,,
2/19/2016,2016,1,2883.7,7254.8,676.9,46.61,222.7,14.34,6.513,2110,25.65,1224,96.5,2142,0,0,21.05,2128,65.86,1150,1.194,326.3,38.46,1.098,0.132,0.018,0.024,0.014,0.028,0.037,0.313,0.626,12.34,,
2/20/2016,2016,4.5,1491.1,3715.1,335.5,33.41,114.1,8.84,9.23,537,23.31,1117,95.8,310,0,0,19.88,403,66.2,1106,2.179,333,40.78,1.377,0.352,0.04,0.017,0.01,0.02,0.054,0.412,1.273,12.35,,
2/21/2016,2016,7,2130.5,5178.6,480,39.62,170,11.71,7.31,1201,23.39,1219,100,1751,0,10,20.08,2314,74.2,1021,1.67,315.5,41.8,1.251,0.132,0.014,0.005,0.014,0.036,0.076,0.551,0.842,12.34,,
2/22/2016,2016,2.8,5210.5,12954,1248,77.7,340.5,20.39,6.034,701,27.84,1538,100,43,0,1,20.13,318,50.46,1459,1.068,212.2,53.11,1.089,0.04,0.027,0.075,0.27,0.385,0.09,0.085,0.097,12.34,,
2/23/2016,2016,3.2,3193.4,7705.6,728,53.52,253.9,16.69,5.395,551,27.04,1509,92.5,656,0,0,19.84,1831,63.99,1609,0.759,317.5,49.42,0.837,0.091,0.087,0.066,0.044,0.091,0.064,0.164,0.151,12.34,,
2/24/2016,2016,0,1967.4,4966.1,467.1,36.25,144.8,9.94,6.194,1530,25.54,1353,92.6,547,0,0,20.66,650,71.7,1355,0.647,284.9,56.18,0.71,0.08,0.055,0.031,0.027,0.063,0.124,0.161,0.106,12.34,,
2/25/2016,2016,0.2,4217.1,10294,996,68.73,325.6,20.53,5.714,1052,27.59,1326,89.3,205,0,0,21,2148,50.28,1541,0.77,11.25,55.4,0.896,0.185,0.145,0.084,0.038,0.046,0.059,0.082,0.131,12.34,,
2/26/2016,2016,0.6,2209.2,7646.7,726,51.87,243.4,15.25,5.714,1130,26.93,1553,92.5,500,0,0,20.75,713,58.97,1333,0.611,340.3,52.43,0.768,0.139,0.089,0.05,0.025,0.033,0.047,0.098,0.129,12.33,,
2/27/2016,2016,0.1,3073.3,8289.4,777,56.42,261.2,16.54,5.554,1214,26.83,1505,87,1830,0,0,20.81,652,62.3,1506,0.629,340.1,39.93,0.756,0.139,0.066,0.057,0.037,0.023,0.037,0.111,0.159,12.34,,
2/28/2016,2016,13.6,2486.5,6333.6,590.1,47.93,181.7,11.51,5.554,1348,25.71,1048,90.2,814,0,0,19.89,317,59.49,1603,0.61,224.5,48.88,0.796,0.04,0.029,0.043,0.105,0.192,0.066,0.068,0.066,12.34,,
2/29/2016,2016,0.5,3725.4,9590.7,914,64.94,307.4,19.6,4.276,1330,27.44,1243,88.7,259,0,0,21.03,516,53.15,1244,0.791,129.9,49,0.693,0.073,0.071,0.22,0.223,0.046,0.027,0.051,0.08,12.33,,
3/1/2016,2016,0.1,3759.6,10743,1004,66.14,322.2,20.22,5.235,1243,26.4,1237,88.4,611,0,4,20.95,644,56.02,1235,0.907,69.17,50.81,0.837,0.134,0.14,0.237,0.091,0.033,0.031,0.079,0.161,12.33,,
