TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp
7/4/2018 0:00,110,0,26.54,26.65,85.9,26.1,29.3,7/4/2018 12:51,95.7,7/4/2018 4:20,29.62,7/4/2018 13:32,8.67,7/4/2018 11:03,23.05,7/4/2018 3:33,64,7/4/2018 12:49,22.73,7/4/2018 4:17,0,7/4/2018 0:47,0.109,0.9324859,375.7,16231.79,774.3,1.626,1.814,0.144,497,2.211,131.7,30.14,1.457,0.004,0.189,1.013,0.957,0.046,0.002,0,0,12.68,
7/5/2018 0:00,111,0,26.33,26.48,86.4,25.34,28.8,7/5/2018 12:37,96.3,7/5/2018 5:57,29.3,7/5/2018 11:46,6.36,7/5/2018 10:47,22.6,7/5/2018 6:08,67.43,7/5/2018 10:30,22.52,7/5/2018 6:07,0,7/5/2018 1:00,0.088,0.7518764,299,12915.49,774.2,1.433,1.518,0.125,426.7,1.607,111,41.07,1.234,0.111,0.451,0.627,0.388,0.021,0.004,0.001,0.005,12.67,
7/6/2018 0:00,112,0,26.53,26.63,86.4,25.52,29.12,7/6/2018 13:02,94.9,7/6/2018 4:33,29.46,7/6/2018 13:02,7.546,7/6/2018 11:10,23.42,7/6/2018 4:24,65.07,7/6/2018 12:02,23.3,7/6/2018 4:04,0,7/6/2018 0:00,0.098,0.8397191,335.7,14504.09,773.6,1.386,1.538,0.137,470.4,2.05,133.7,28.1,1.397,0.002,0.123,0.908,0.963,0.051,0.004,0,0,12.68,
7/7/2018 0:00,113,0.2,26.58,26.69,81.7,25.79,28.9,7/7/2018 12:56,89.7,7/7/2018 3:32,29.27,7/7/2018 12:56,9.68,7/7/2018 11:13,24.63,7/7/2018 3:31,65.39,7/7/2018 12:46,24.35,7/7/2018 3:39,0,7/7/2018 1:45,0.088,0.7539203,297.9,12870.52,774.1,1.05,1.181,0.131,443.9,2.157,127.7,31.23,1.402,0.015,0.22,0.974,0.91,0.036,0.002,0,0.001,12.68,
7/8/2018 0:00,114,0.1,26.57,26.7,87.3,25.85,28.35,7/8/2018 13:51,91.2,7/8/2018 5:37,28.58,7/8/2018 13:01,8.22,7/8/2018 12:16,24.97,7/8/2018 4:36,75.35,7/8/2018 13:16,24.88,7/8/2018 4:35,0,7/8/2018 0:40,0.062,0.5347139,215.5,9308.742,773.4,0.859,0.898,0.091,314.2,1.973,111.3,30.09,1.338,0.027,0.412,1.179,0.346,0.007,0.001,0,0.001,12.68,
7/9/2018 0:00,115,85.9,24.84,24.93,97.2,24.45,26.2,7/9/2018 8:33,99.3,7/9/2018 13:13,26.34,7/9/2018 8:03,12.52,7/9/2018 8:34,22.23,7/9/2018 13:37,87.2,7/9/2018 0:33,22.21,7/9/2018 13:36,0,7/9/2018 0:01,0.011,0.09441642,43.26,1868.929,773.9,0.997,1,0.02,76.2,1.856,137.4,41.76,1.424,0.01,0.112,0.6,0.976,0.104,0.025,0.023,0.005,12.69,
7/10/2018 0:00,116,11,26.45,26.6,91.2,25.58,28.36,7/10/2018 14:38,97.7,7/10/2018 1:23,28.77,7/10/2018 14:38,11.24,7/10/2018 13:56,23.63,7/10/2018 1:12,70.36,7/10/2018 14:28,23.68,7/10/2018 1:14,0,7/10/2018 0:07,0.107,0.9208707,362.4,15654.55,773.9,1.082,1.175,0.137,471.6,2.774,141.2,27.75,1.805,0.002,0.027,0.758,1.864,0.109,0.007,0.005,0.002,12.68,
7/11/2018 0:00,117,0.5,26.67,26.8,85,25.07,29.12,7/11/2018 13:23,95.1,7/11/2018 2:50,29.5,7/11/2018 13:23,8.76,7/11/2018 12:56,24.61,7/11/2018 5:02,71,7/11/2018 13:09,24.44,7/11/2018 4:46,0,7/11/2018 0:27,0.097,0.8330361,335.1,14474.25,774.5,1.13,1.244,0.133,460.6,1.92,132.7,25.32,1.32,0.001,0.079,0.866,0.924,0.048,0.002,0,0,12.67,
7/12/2018 0:00,118,1.1,25.19,25.3,98.1,22.06,28.33,7/12/2018 14:52,98.4,7/12/2018 4:51,28.92,7/12/2018 12:45,8.56,7/12/2018 17:47,22.35,7/12/2018 23:13,60.61,7/12/2018 15:05,22.33,7/12/2018 23:36,0,7/12/2018 0:27,0.098,0.8444827,349.4,15096.12,774.9,1.788,1.917,0.142,507.6,1.323,144,56.71,1.289,0.034,0.225,0.476,0.424,0.05,0.084,0.026,0.005,12.66,
7/13/2018 0:00,119,0.6,25.95,26.04,85.3,25.92,28.55,7/13/2018 13:48,99.7,7/13/2018 2:08,28.93,7/13/2018 14:21,9.2,7/13/2018 13:01,22.16,7/13/2018 0:58,62.52,7/13/2018 15:03,22.12,7/13/2018 1:55,0,7/13/2018 0:02,0.112,0.9574905,388,16763.58,774.7,1.936,2.126,0.148,515,1.945,133.4,30.15,1.689,0.001,0.093,0.863,0.923,0.052,0.009,0.003,0.001,12.68,
7/14/2018 0:00,120,0.8,26.37,26.55,90.1,25.61,28.43,7/14/2018 13:29,96.4,7/14/2018 14:25,28.83,7/14/2018 13:29,7.546,7/14/2018 13:33,25.08,7/14/2018 4:03,72.17,7/14/2018 9:41,25,7/14/2018 3:09,0,7/14/2018 1:50,0.092,0.7894816,324.7,14028.97,774.7,0.97,1.058,0.125,441.3,1.653,124.7,31.78,1.154,0.013,0.177,0.754,0.672,0.037,0.001,0,0,12.68,
7/15/2018 0:00,121,1.2,26.19,26.29,88.6,25.76,28.58,7/15/2018 10:57,98.3,7/15/2018 5:51,29.04,7/15/2018 10:56,7.634,7/15/2018 9:31,23.69,7/15/2018 5:44,76.47,7/15/2018 10:36,23.65,7/15/2018 5:41,0,7/15/2018 0:01,0.078,0.6724547,272.4,11768.79,773.8,1.147,1.268,0.12,417.4,1.553,126.9,29.55,1.14,0.006,0.206,0.746,0.564,0.027,0.002,0.001,0.001,12.68,
7/16/2018 0:00,122,3.8,26.46,26.6,96.3,24.81,28.53,7/16/2018 15:36,97,7/16/2018 3:57,28.92,7/16/2018 15:36,9.12,7/16/2018 12:03,24.75,7/16/2018 3:59,76.73,7/16/2018 13:11,24.74,7/16/2018 3:58,0,7/16/2018 0:29,0.094,0.803416,332.8,14376.05,775,0.978,1.065,0.142,504.3,2.161,133.7,25.58,1.414,0.002,0.077,0.973,1.059,0.049,0.001,0,0,12.67,
7/17/2018 0:00,123,0,26.75,26.86,89.1,25.7,28.93,7/17/2018 14:53,96.3,7/17/2018 0:00,29.22,7/17/2018 14:35,6.821,7/17/2018 14:19,25.04,7/17/2018 5:26,68.34,7/17/2018 13:40,24.69,7/17/2018 5:54,0,7/17/2018 0:22,0.099,0.8475564,341.8,14767.91,774.6,1.126,1.254,0.133,462.6,1.848,127.5,28.99,1.171,0.006,0.203,0.797,0.808,0.032,0.002,0,0,12.67,
7/18/2018 0:00,124,0.9,26.61,26.73,87.4,26.37,28.37,7/18/2018 13:28,95.9,7/18/2018 4:15,28.75,7/18/2018 13:24,8.26,7/18/2018 11:37,24.61,7/18/2018 4:15,71.53,7/18/2018 12:59,24.58,7/18/2018 4:22,0,7/18/2018 0:08,0.076,0.6553523,266.7,11520.12,773.5,0.93,1,0.12,416.1,1.838,115.8,29.9,1.218,0.018,0.358,1.03,0.416,0.014,0,0,0.001,12.68,
7/19/2018 0:00,125,1.6,26.71,26.83,93.6,26.25,28.7,7/19/2018 13:26,96.5,7/19/2018 1:25,29.06,7/19/2018 13:27,8.3,7/19/2018 13:55,24.21,7/19/2018 0:16,76.44,7/19/2018 12:45,24.35,7/19/2018 0:49,0,7/19/2018 0:28,0.083,0.7142347,298,12872.44,773.6,1.102,1.177,0.123,437.4,2.025,130.9,26.85,1.302,0.003,0.103,0.974,0.898,0.045,0.002,0,0,12.68,
7/20/2018 0:00,126,0.6,27.06,27.18,88.1,26.34,29.33,7/20/2018 11:29,95.1,7/20/2018 0:15,29.71,7/20/2018 11:30,9.18,7/20/2018 10:53,25.69,7/20/2018 6:23,65.21,7/20/2018 13:40,25.67,7/20/2018 6:23,0,7/20/2018 0:09,0.1,0.8615764,332.4,14361.08,773.6,1.004,1.081,0.136,456.5,2.307,132.4,26.34,1.352,0.001,0.096,0.918,1.226,0.063,0.002,0,0,12.68,
7/21/2018 0:00,127,0.2,26.31,26.39,95.9,23.81,29.46,7/21/2018 13:31,97.8,7/21/2018 22:25,29.83,7/21/2018 13:31,7.664,7/21/2018 12:58,23.73,7/21/2018 4:35,62.14,7/21/2018 14:22,23.46,7/21/2018 6:20,0,7/21/2018 0:10,0.11,0.9437325,389.8,16837.62,772.9,1.762,1.932,0.144,511.4,1.471,144.5,37.37,1.378,0.004,0.056,0.562,0.754,0.051,0.032,0.012,0,12.66,
7/22/2018 0:00,128,1.1,25.66,25.74,96.9,22.61,28.52,7/22/2018 13:19,98.7,7/22/2018 6:30,28.74,7/22/2018 13:38,6.889,7/22/2018 15:18,22.86,7/22/2018 23:56,64.49,7/22/2018 13:33,22.86,7/22/2018 23:55,0,7/22/2018 0:00,0.096,0.8258942,347.7,15022.42,772.8,1.778,1.914,0.126,452.1,1.526,152.6,46.75,1.479,0,0.038,0.56,0.795,0.052,0.054,0.029,0,12.66,
7/23/2018 0:00,129,0.4,25.51,25.57,86.3,24.92,28.55,7/23/2018 12:03,99.3,7/23/2018 6:47,28.95,7/23/2018 12:02,8.22,7/23/2018 13:07,22.2,7/23/2018 4:43,64.34,7/23/2018 12:53,22.16,7/23/2018 4:44,0,7/23/2018 0:00,0.106,0.9115117,385,16631.08,773.5,1.987,2.141,0.152,543.9,1.733,145.4,35.95,1.61,0.001,0.044,0.656,0.937,0.055,0.022,0.016,0.001,12.67,
7/24/2018 0:00,130,0.3,25.96,25.98,89.3,23.84,28.7,7/24/2018 14:30,96.8,7/24/2018 4:46,29.14,7/24/2018 14:29,8.88,7/24/2018 9:40,23.72,7/24/2018 22:05,73.6,7/24/2018 13:21,23.36,7/24/2018 22:15,0,7/24/2018 0:11,0.091,0.78325,331,14300.57,774,1.382,1.573,0.145,517.8,1.928,138.9,28.02,1.489,0.001,0.066,0.804,0.995,0.057,0.003,0.001,0.001,12.66,
7/25/2018 0:00,131,0,26.02,26.08,90.1,25.16,28.94,7/25/2018 13:33,98.9,7/25/2018 5:44,29.34,7/25/2018 12:48,8.39,7/25/2018 13:06,22.96,7/25/2018 2:27,70.21,7/25/2018 13:02,22.78,7/25/2018 2:26,0,7/25/2018 0:04,0.099,0.8503577,360,15551.92,773.8,1.83,1.981,0.14,510,1.716,139.5,38.67,1.521,0.01,0.047,0.792,0.782,0.033,0.031,0.019,0.001,12.67,
7/26/2018 0:00,132,0,26.17,26.2,94.7,24.33,28.54,7/26/2018 14:08,97.9,7/26/2018 7:13,28.85,7/26/2018 14:08,9.23,7/26/2018 13:47,24.25,7/26/2018 6:51,73.07,7/26/2018 15:49,24.24,7/26/2018 7:05,0,7/26/2018 0:09,0.083,0.7110999,301.2,13013.3,774.3,1.185,1.297,0.121,438.3,1.472,143,36.25,1.31,0.006,0.041,0.425,0.885,0.08,0.021,0.01,0.003,12.67,
7/27/2018 0:00,133,0,26.42,26.41,90.7,23.9,29.14,7/27/2018 13:33,97.7,7/27/2018 5:54,29.53,7/27/2018 14:19,8.64,7/27/2018 10:48,23.79,7/27/2018 5:51,67.73,7/27/2018 10:31,23.67,7/27/2018 5:51,0,7/27/2018 0:00,0.12,1.032208,436.2,18844.72,774.7,1.65,1.884,0.158,572.6,1.723,141,24.34,1.499,0,0.042,0.66,0.958,0.059,0.003,0.001,0,12.66,
7/28/2018 0:00,134,0,26.21,26.17,91.8,24.1,28.8,7/28/2018 14:07,94,7/28/2018 12:37,29.12,7/28/2018 14:04,8.05,7/28/2018 16:40,23.87,7/28/2018 6:19,63.79,7/28/2018 11:56,23.45,7/28/2018 6:18,0,7/28/2018 0:18,0.099,0.8524805,370,15982.56,774.2,1.329,1.575,0.142,528.6,1.72,139.2,28.22,1.396,0.013,0.089,0.625,0.935,0.056,0.003,0,0,12.66,
7/29/2018 0:00,135,0,26.14,26.13,85.6,25.07,28.79,7/29/2018 15:28,98.6,7/29/2018 6:02,29.19,7/29/2018 15:27,8.52,7/29/2018 12:52,22.62,7/29/2018 4:40,63.42,7/29/2018 11:51,22.39,7/29/2018 5:20,0,7/29/2018 0:24,0.099,0.8473892,366,15810.73,774.4,1.826,2.023,0.129,479.2,1.828,143.7,28.32,1.535,0.001,0.044,0.684,1.017,0.073,0.007,0.003,0,12.67,
7/30/2018 0:00,136,0,26.46,26.52,81.4,25.34,28.7,7/30/2018 10:59,93.9,7/30/2018 13:27,29.01,7/30/2018 10:58,6.399,7/30/2018 10:44,24.67,7/30/2018 2:34,73.46,7/30/2018 11:00,24.34,7/30/2018 3:01,0,7/30/2018 0:11,0.084,0.720957,310.2,13401.08,774.2,0.914,1.041,0.13,481.8,1.714,123.8,30.4,1.064,0.007,0.275,0.889,0.519,0.023,0.001,0,0,12.67,
7/31/2018 0:00,137,0,26.66,26.68,91.5,24.1,29.42,7/31/2018 13:35,94.9,7/31/2018 22:41,29.8,7/31/2018 12:22,6.752,7/31/2018 16:37,24.29,7/31/2018 6:28,66.48,7/31/2018 13:35,24.11,7/31/2018 6:12,0,7/31/2018 1:10,0.09,0.7756635,326,14084.81,774.4,1.304,1.497,0.134,482.1,1.595,119.3,38.05,1.158,0.091,0.387,0.603,0.482,0.026,0.002,0,0.003,12.66,
8/1/2018 0:00,138,0,25.35,25.41,98.9,22.7,28.71,8/1/2018 12:12,99.3,8/1/2018 6:24,28.97,8/1/2018 10:01,8.11,8/1/2018 11:26,22.57,8/1/2018 6:21,60.03,8/1/2018 12:09,22.49,8/1/2018 5:52,0,8/1/2018 0:00,0.085,0.7326919,306.6,13243.95,773.8,2.103,2.212,0.128,459.2,1.299,151.5,64.08,1.327,0.03,0.094,0.438,0.55,0.057,0.063,0.052,0.016,12.65,
8/2/2018 0:00,139,0,25.62,25.57,96,22.45,28.67,8/2/2018 14:03,99.6,8/2/2018 0:56,29.05,8/2/2018 14:03,6.644,8/2/2018 13:50,22.58,8/2/2018 23:55,67.92,8/2/2018 10:12,22.47,8/2/2018 23:55,0,8/2/2018 0:00,0.107,0.9152704,381.4,16475,773.7,2.038,2.264,0.147,525.2,1.441,144.2,37.15,1.386,0.001,0.037,0.526,0.791,0.043,0.024,0.018,0.001,12.65,
8/3/2018 0:00,140,0,25.57,25.63,85.3,25.89,28.61,8/3/2018 14:20,99,8/3/2018 6:32,28.93,8/3/2018 14:20,7.644,8/3/2018 17:41,21.88,8/3/2018 6:06,64.62,8/3/2018 12:22,21.69,8/3/2018 6:06,0,8/3/2018 0:03,0.076,0.6493455,274.3,11850.44,772.9,2.227,2.374,0.105,378.5,1.364,122.1,56.75,1.189,0.063,0.311,0.57,0.32,0.021,0.061,0.016,0.002,12.68,
8/4/2018 0:00,141,0,26.3,26.38,94.3,24.84,29.09,8/4/2018 13:20,98.1,8/4/2018 22:04,29.31,8/4/2018 13:20,8.08,8/4/2018 13:10,24.15,8/4/2018 21:29,67.72,8/4/2018 13:12,24.23,8/4/2018 21:29,0,8/4/2018 0:05,0.061,0.527084,221.1,9551.728,773.1,1.282,1.335,0.092,331.3,1.459,116.4,40.75,1.205,0.035,0.314,0.747,0.324,0.018,0.009,0.009,0.003,12.67,
8/5/2018 0:00,142,0,26.78,26.85,92.7,26.1,29.38,8/5/2018 12:47,98.7,8/5/2018 2:12,29.76,8/5/2018 10:21,7.193,8/5/2018 13:02,24.46,8/5/2018 2:04,72.22,8/5/2018 13:52,24.41,8/5/2018 2:04,0,8/5/2018 0:00,0.072,0.6155397,254.7,11002.21,773.3,1.206,1.292,0.107,381.5,1.459,108.2,34.81,1.163,0.039,0.364,0.834,0.203,0.008,0.004,0.004,0.002,12.68,
8/6/2018 0:00,143,0,26.9,26.97,88.9,25.85,29.06,8/6/2018 15:26,97.6,8/6/2018 2:44,29.33,8/6/2018 15:08,7.487,8/6/2018 10:20,24.76,8/6/2018 5:23,68.19,8/6/2018 15:45,24.64,8/6/2018 6:06,0,8/6/2018 0:01,0.087,0.7459602,312.4,13496.88,774.2,1.309,1.427,0.119,429.4,1.678,138.5,31.33,1.303,0.001,0.056,0.637,0.916,0.042,0.008,0.017,0,12.67,
8/7/2018 0:00,144,0,27.03,27.11,98.2,23.64,30.29,8/7/2018 14:09,98.3,8/7/2018 23:52,30.63,8/7/2018 14:09,6.527,8/7/2018 10:03,24.01,8/7/2018 23:38,65.63,8/7/2018 14:18,23.92,8/7/2018 23:37,0,8/7/2018 0:00,0.1,0.8575345,260.5,11251.82,774.5,1.647,1.752,0.136,469.7,1.438,142.7,43.47,1.259,0.002,0.078,0.55,0.695,0.056,0.043,0.012,0.001,12.65,
8/8/2018 0:00,145,0,26.16,26.24,97.1,23.87,29.76,8/8/2018 13:10,100,8/8/2018 3:52,30.25,8/8/2018 13:09,5.802,8/8/2018 14:04,23.17,8/8/2018 6:17,64.71,8/8/2018 11:26,23.05,8/8/2018 6:16,0,8/8/2018 0:03,0.098,0.8448659,50.97,2201.734,774.3,2.101,2.234,0.142,170.4,1.06,102.8,60.99,1.185,0.129,0.396,0.294,0.165,0.014,0.036,0.024,0.004,12.66,
8/9/2018 0:00,146,0,25.95,26.04,97,22.95,30.16,8/9/2018 13:55,99.9,8/9/2018 6:08,30.56,8/9/2018 13:55,6.958,8/9/2018 14:34,22.81,8/9/2018 6:13,57.38,8/9/2018 13:52,22.71,8/9/2018 5:43,0,8/9/2018 0:00,0.111,0.9544344,23.47,1013.777,774.2,2.374,2.525,0.162,79.23,1.184,146.6,46.56,1.371,0.001,0.099,0.561,0.439,0.024,0.036,0.022,0.001,12.65,
8/10/2018 0:00,147,0,25.88,25.89,94,23.99,29.49,8/10/2018 13:56,100,8/10/2018 5:20,29.83,8/10/2018 13:56,9.56,8/10/2018 14:40,22.06,8/10/2018 4:46,58.59,8/10/2018 14:45,21.89,8/10/2018 5:16,0,8/10/2018 0:00,0.101,0.8633828,127.9,5526.925,774.6,2.434,2.601,0.141,294.8,1.624,151.3,45.53,1.657,0.002,0.052,0.686,0.765,0.047,0.052,0.018,0.001,12.66,
8/11/2018 0:00,148,0,26.01,26.05,93.4,24.69,29.82,8/11/2018 11:25,99.6,8/11/2018 6:09,30.32,8/11/2018 11:25,8.48,8/11/2018 18:52,22.53,8/11/2018 5:12,64.38,8/11/2018 11:28,22.34,8/11/2018 4:13,0,8/11/2018 0:01,0.101,0.8709701,129.4,5589.228,774.4,2.553,2.712,0.145,301.6,1.428,150,54.23,1.409,0.008,0.095,0.563,0.607,0.038,0.063,0.053,0.002,12.66,
8/12/2018 0:00,149,0,26.55,26.62,92.7,23.38,29.58,8/12/2018 12:15,95.7,8/12/2018 1:24,30.01,8/12/2018 12:15,7.918,8/12/2018 11:40,23.73,8/12/2018 22:03,57.37,8/12/2018 11:56,23.67,8/12/2018 22:01,0,8/12/2018 0:51,0.091,0.7783317,6.79,293.336,773.9,1.347,1.465,0.145,47.88,1.849,125.6,36.53,1.23,0.04,0.25,0.765,0.74,0.045,0.004,0,0.003,12.65,
8/13/2018 0:00,150,0,26.11,26.21,91.7,24.78,29.17,8/13/2018 11:01,98.4,8/13/2018 6:25,29.71,8/13/2018 11:00,7.977,8/13/2018 14:33,22.6,8/13/2018 6:22,65.15,8/13/2018 11:02,22.51,8/13/2018 6:31,0,8/13/2018 0:01,0.095,0.814358,43.35,1872.773,772.8,1.723,1.891,0.139,144.4,1.339,113.5,46.01,1.137,0.067,0.297,0.611,0.302,0.029,0.011,0.009,0.013,12.67,
8/14/2018 0:00,151,0,26.81,26.93,85.6,26.13,29.83,8/14/2018 15:04,99.2,8/14/2018 1:54,30.35,8/14/2018 14:41,8.13,8/14/2018 11:54,23.88,8/14/2018 2:00,59.44,8/14/2018 14:20,23.91,8/14/2018 2:00,0,8/14/2018 0:10,0.107,0.9192146,23.75,1025.986,773,1.608,1.74,0.157,85.1,1.794,129.1,32.61,1.347,0.006,0.149,0.885,0.702,0.028,0.017,0.007,0,12.67,
8/15/2018 0:00,152,0,26.18,26.24,98.2,24.19,29.98,8/15/2018 13:42,99,8/15/2018 4:35,30.77,8/15/2018 13:42,6.546,8/15/2018 14:19,23.28,8/15/2018 4:48,63.19,8/15/2018 12:12,23.24,8/15/2018 6:22,0,8/15/2018 0:14,0.096,0.821665,4.069,175.7895,774.5,1.95,2.105,0.151,7.372,1.185,133.2,54.93,1.226,0.021,0.193,0.514,0.355,0.021,0.03,0.049,0.003,12.66,
8/16/2018 0:00,153,0,25.67,25.76,95.5,24.51,29.32,8/16/2018 11:55,100,8/16/2018 6:31,29.72,8/16/2018 11:54,7.693,8/16/2018 13:11,23.07,8/16/2018 3:57,63.9,8/16/2018 12:59,23.14,8/16/2018 3:57,0,8/16/2018 0:12,0.067,0.5752915,3.672,158.65,774.7,1.74,1.818,0.119,6.639,1.223,138.9,62.62,1.207,0.023,0.213,0.5,0.314,0.027,0.074,0.07,0.003,12.66,
8/17/2018 0:00,154,0,25.95,26.01,99.7,23.47,29.15,8/17/2018 13:33,100,8/17/2018 23:46,29.51,8/17/2018 13:33,7.801,8/17/2018 10:24,23.32,8/17/2018 21:55,69.91,8/17/2018 13:33,23.49,8/17/2018 21:58,0,8/17/2018 0:10,0.076,0.6519991,87.4,3774.719,775,1.715,1.811,0.121,177.9,1.35,136.8,51.61,1.233,0.03,0.199,0.535,0.476,0.032,0.044,0.032,0.003,12.65,
8/18/2018 0:00,155,0,25.74,25.88,98.1,22.59,29.17,8/18/2018 15:22,100,8/18/2018 2:14,29.67,8/18/2018 15:16,7.046,8/18/2018 11:21,22.72,8/18/2018 6:02,60.87,8/18/2018 15:07,22.7,8/18/2018 6:01,0,8/18/2018 0:00,0.109,0.9329813,268.3,11590.36,773.5,2.208,2.336,0.15,488.3,1.246,155.5,57.78,1.265,0.004,0.044,0.508,0.535,0.035,0.06,0.057,0.003,12.64,
8/19/2018 0:00,156,0,25.59,25.6,91.6,23.7,28.93,8/19/2018 13:52,99.1,8/19/2018 5:35,29.31,8/19/2018 14:36,8.04,8/19/2018 13:20,21.53,8/19/2018 5:23,64,8/19/2018 16:52,21.31,8/19/2018 5:23,0,8/19/2018 0:00,0.084,0.7197501,185.5,8013.09,773.5,2.454,2.61,0.125,308.4,1.537,149,42.07,1.63,0.004,0.067,0.608,0.758,0.043,0.044,0.012,0.001,12.66,
8/20/2018 0:00,157,0,26.91,26.98,92.1,25.28,30.14,8/20/2018 13:59,92.5,8/20/2018 23:57,30.62,8/20/2018 13:54,7.811,8/20/2018 11:12,24.7,8/20/2018 6:03,64.69,8/20/2018 11:31,24.08,8/20/2018 0:05,0,8/20/2018 0:00,0.113,0.9681649,226.4,9778.509,774.5,1.464,1.668,0.162,451.3,1.954,141.6,29.95,1.546,0.001,0.065,0.744,1.063,0.071,0.006,0.002,0.001,12.67,
8/21/2018 0:00,158,0,25.96,26.02,98.7,23.61,29.44,8/21/2018 13:43,99.6,8/21/2018 23:30,29.79,8/21/2018 13:43,7.125,8/21/2018 12:43,23.33,8/21/2018 6:24,62.43,8/21/2018 13:44,23.19,8/21/2018 6:22,0,8/21/2018 0:04,0.098,0.8431189,192,8293.228,774,1.954,2.094,0.144,382.7,1.326,144.6,41.6,1.396,0.003,0.06,0.522,0.654,0.042,0.023,0.021,0.001,12.65,
8/22/2018 0:00,159,0,26.61,26.65,90.9,25.16,29.35,8/22/2018 12:39,99.3,8/22/2018 0:39,29.87,8/22/2018 12:38,8.89,8/22/2018 9:45,23.99,8/22/2018 0:02,68.58,8/22/2018 13:07,23.81,8/22/2018 0:57,0,8/22/2018 0:00,0.11,0.9406111,80.1,3460.617,773.4,1.534,1.727,0.158,215.8,1.73,133.9,28.33,1.511,0.004,0.061,0.711,0.899,0.049,0.003,0.001,0.002,12.67,
8/23/2018 0:00,160,0,26,26.08,99,23.04,29.46,8/23/2018 14:15,99.1,8/23/2018 23:56,29.92,8/23/2018 14:15,9.13,8/23/2018 7:02,23.29,8/23/2018 23:55,62.92,8/23/2018 14:38,23.26,8/23/2018 23:55,0,8/23/2018 1:28,0.112,0.9610135,33.54,1448.966,772.8,2.004,2.136,0.158,46.48,1.623,150,52.13,1.396,0.006,0.066,0.588,0.756,0.052,0.101,0.052,0.002,12.65,
8/24/2018 0:00,161,0,25.04,25.12,98.5,22.98,28.65,8/24/2018 14:06,100,8/24/2018 4:27,29.03,8/24/2018 13:51,6.35,8/24/2018 14:48,22.29,8/24/2018 4:26,65.1,8/24/2018 15:03,22.22,8/24/2018 4:20,0,8/24/2018 0:10,0.093,0.7958808,129.9,5611.658,773.4,2.115,2.221,0.143,325.4,1.01,204.3,67.95,1.032,0.021,0.068,0.29,0.298,0.053,0.173,0.097,0.01,12.65,
8/25/2018 0:00,162,0,25.71,25.75,95.6,23.64,29.07,8/25/2018 15:11,100,8/25/2018 5:41,29.52,8/25/2018 15:14,8.43,8/25/2018 11:04,23.03,8/25/2018 6:20,60.84,8/25/2018 14:50,22.92,8/25/2018 6:06,0,8/25/2018 0:00,0.123,1.057566,256.5,11080.47,773.4,2.225,2.407,0.169,474.8,1.597,158.2,48.63,1.647,0.001,0.041,0.547,0.84,0.061,0.075,0.03,0.002,12.65,
8/26/2018 0:00,163,0,25.64,25.68,94.3,23.38,28.95,8/26/2018 15:20,100,8/26/2018 4:49,29.34,8/26/2018 12:07,10.03,8/26/2018 9:46,22.99,8/26/2018 3:01,63.32,8/26/2018 12:13,22.88,8/26/2018 3:01,0,8/26/2018 0:00,0.112,0.9644529,79.04,3414.468,773.6,1.995,2.17,0.164,253,1.675,151.8,44.83,1.851,0.004,0.044,0.65,0.864,0.057,0.034,0.02,0.002,12.65,
