TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,Comentario
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,
1/18/2014 0:00,10,1.8,9.77,23.21,100,24.74,21.62,28.99,1/18/2014 14:40,100,1/18/2014 0:00,27.97,1/18/2014 15:35,2.437,1/18/2014 16:30,20.31,1/18/2014 0:43,72.47,1/18/2014 13:38,22.21,1/18/2014 8:07,0,1/18/2014 0:00,61.03,0.5238369,244.7,21140.93,765.1,2.283,1.978,119.2,466.6,0.317,175.5,46.11,0.353,0.015,0.014,0.034,0.121,0.07,0.028,0.017,0.019,12.4,
1/19/2014 0:00,11,0,9.74,23.53,100,25.75,22.28,29.1,1/19/2014 12:19,100,1/19/2014 0:00,29.05,1/19/2014 15:23,2.277,1/19/2014 16:04,20.29,1/19/2014 7:02,69.08,1/19/2014 12:17,23.02,1/19/2014 8:17,0,1/19/2014 0:00,65.8,0.564812,266.4,23014.92,765.4,2.616,1.979,122.4,483.2,0.314,165.1,38.78,0.355,0.013,0.013,0.04,0.147,0.058,0.021,0.012,0.011,12.39,
1/20/2014 0:00,12,0,9.69,23.6,100,25.94,20.53,28.36,1/20/2014 13:35,100,1/20/2014 0:00,28.97,1/20/2014 15:08,2.197,1/20/2014 13:45,20.54,1/20/2014 23:56,73.26,1/20/2014 13:42,23.79,1/20/2014 8:05,0,1/20/2014 0:00,57.72,0.4954411,227.9,19687.42,764.9,2.219,1.586,113.3,447,0.305,180.1,46.47,0.36,0.019,0.016,0.025,0.105,0.073,0.031,0.017,0.019,12.39,
1/21/2014 0:00,13,1.3,9.62,22.25,100,24.97,20.31,28.15,1/21/2014 14:42,100,1/21/2014 0:00,28.45,1/21/2014 15:07,2.038,1/21/2014 9:56,19.28,1/21/2014 6:56,59.57,1/21/2014 14:34,22.58,1/21/2014 8:37,0,1/21/2014 0:02,59.62,0.511773,240.2,20750.06,763.3,2.626,1.695,120.8,469.2,0.253,167.7,34.22,0.353,0.009,0.01,0.026,0.115,0.05,0.022,0.012,0.009,12.39,
1/22/2014 0:00,14,3.3,9.65,22.19,100,24.16,20.4,27.62,1/22/2014 15:15,100,1/22/2014 0:00,26.11,1/22/2014 15:08,2.916,1/22/2014 15:48,19.75,1/22/2014 7:13,82.4,1/22/2014 15:16,22.47,1/22/2014 8:21,0,1/22/2014 0:00,38.24,0.3281904,150,12955.24,765.4,2.072,1.088,80.1,294.5,0.257,168.8,38.59,0.339,0.012,0.011,0.023,0.113,0.052,0.019,0.012,0.014,12.39,
1/23/2014 0:00,15,1.2,9.65,22.73,100,24.12,21.04,27.82,1/23/2014 13:09,100,1/23/2014 0:00,26.23,1/23/2014 15:25,2.357,1/23/2014 14:11,20.07,1/23/2014 5:56,76.38,1/23/2014 12:17,22.25,1/23/2014 7:38,0,1/23/2014 0:00,40.39,0.3467157,164.2,14187.78,765.5,2.309,1.318,77.51,304.1,0.314,158.7,47.97,0.373,0.023,0.017,0.032,0.126,0.045,0.022,0.017,0.032,12.39,
1/24/2014 0:00,16,12.8,9.78,23.29,100,25.22,21.81,28.88,1/24/2014 12:14,100,1/24/2014 0:00,28.3,1/24/2014 14:00,3.236,1/24/2014 15:11,20.7,1/24/2014 7:17,67.9,1/24/2014 12:01,22.88,1/24/2014 7:46,0,1/24/2014 0:00,60.19,0.5166718,233.7,20184.07,764.6,2.076,1.819,120.7,457.8,0.368,170.5,59.34,0.418,0.029,0.022,0.032,0.109,0.064,0.036,0.027,0.048,12.39,
1/25/2014 0:00,17,1.2,9.77,22.07,100,24.77,20.53,26.87,1/25/2014 14:50,100,1/25/2014 0:00,27.31,1/25/2014 15:44,2.117,1/25/2014 12:38,18.95,1/25/2014 4:50,78.75,1/25/2014 14:52,22.49,1/25/2014 8:40,0,1/25/2014 0:00,51.68,0.4436046,206.6,17845.14,764.2,2.234,1.477,100.9,391.5,0.247,169.3,40.41,0.36,0.011,0.015,0.029,0.092,0.049,0.022,0.014,0.015,12.39,
1/26/2014 0:00,18,3.4,9.77,22.38,100,25.49,19.7,28.33,1/26/2014 13:56,100,1/26/2014 0:00,30.03,1/26/2014 15:15,2.437,1/26/2014 12:27,19.8,1/26/2014 23:09,55.98,1/26/2014 13:54,22.85,1/26/2014 8:56,0,1/26/2014 0:00,77.14,0.6621431,305.9,26423.99,764.5,2.544,2.222,143.9,558.8,0.275,177.5,38.59,0.392,0.017,0.015,0.023,0.097,0.073,0.023,0.014,0.012,12.38,
1/27/2014 0:00,19,1.3,9.75,23.13,100,25.19,21.86,28.34,1/27/2014 12:28,100,1/27/2014 0:00,27.68,1/27/2014 14:08,4.674,1/27/2014 14:03,19.86,1/27/2014 0:09,69.38,1/27/2014 12:29,23.09,1/27/2014 8:19,0,1/27/2014 0:00,52.82,0.4533317,211.2,18245.31,764.6,2.286,1.49,108.4,422.5,0.386,151.5,54.13,0.423,0.032,0.037,0.049,0.134,0.054,0.03,0.021,0.028,12.4,
